Rank,Size (kw),Name of reservior (lake) / Name of Plant,Country,City/Province,EPC,Panels,Floating,Operating from
1,20000,Coal mining subsidence area of Huainan City,China,Anhui Province,Xinyi Solar,-,-,"April, 2016"
2,7500,Kawashima Taiyou to shizen no megumi Solarpark,Japan,Saitama,Kawashima Taiyou to shizen no megumi Solarpark LLC,Yingli Solar,Ciel Terre,"October, 2015"
3,6338,Queen Elizabeth II reservoir,UK,London,Biosar Energy (UK) Ltd,Suntech,Ciel Terre,"March, 2016"
4,3000,Otae Province,Sounth Korea,Sangju City Gyeongsang Bukdo,LG CNS,LG,LG CNS,"October, 2015"
5,3000,Jipyeong Province,Sounth Korea,Sangju City Gyeongsang Bukdo,LG CNS,LG,LG CNS,"October, 2015"
6,2991,Godley Reservoir Floating Solar PV,UK,Godley,Forrest,JA Solar,Ciel Terre,"January, 2016"
7,2449,Tsuga Ike,Japan,Mie,-,Kyocera,Ciel Terre,"August, 2016"
8,2398,Sohara Ike,Japan,Mie,-,Mitsubishi,Ciel Terre,"March, 2016"
9,2313,Sakasama Ike,Japan,Hyogo,Kyocera Communication Systems,Kyocera,Ciel Terre,"April, 2015"
10,2000,Reservior in Kumagaya city,Japan,Saitama,Kurihara Industry,Renesola Japan,Ciel Terre,"December, 2014"
11,2000,Kinuura Lumberyard,Japan,Aichi,Ibiden Engineering,JA Solar,Ibiden Engineering,"February, 2016"
12,2000,Yado Ooike (Sun Lakes Yado),Japan,Hyogo,Nippon Comsys,Local manufacturer,Takiron Engineering,"January, 2016"
13,1751,Hirono Shinike,Japan,Hyogo,-,Sharp,Ciel Terre,"September, 2016"
14,1708,Yakenoike,Japan,Hyogo,Dainen Eco Solution,-,-,"July, 2016"
15,1700,Nishi Hiraike,Japan,Hyogo,Kyocera Communication Systems,Kyocera,Ciel Terre,"April, 2015"
16,1700,Hyogo No.9 Plant,Japan,Hyogo,"Infini, SRG Takamiya,Environmental- resiurces development, Tokai Densetsu",Japan Solar,"Environmental- resources development,","April, 2015"
17,1500,Kakogawa City,Japan,Hyogo,Gaia Power,CSUN Japan Solar Energy,"Environmental- resources development,","September, 2015"
18,1485,Funatsu Ooike,Japan,Hyogo,Dainen Eco Solution,Yingli Solar,Ciel Terre,"September, 2015"
19,1430,Kawahara Yama Solar Plant,Japan,Hyogo,Miki Kogyo,Sharp,Ciel Terre,"December, 2015"
20,1330,Mito City,Japan,Ibaraki,West Energy Solutions,Sun250,-,"August, 2015"
21,1260,Hira Ike,Japan,Hyogo,-,Sharp,Ciel Terre,"July, 2016"
22,1212,Koube Ooike,Japan,Hyogo,-,Yingli Solar,Ciel Terre,"May, 2016"
23,1203,Ainoike,Japan,Hyogo,-,Yingli Solar,Ciel Terre,"May, 2016"
24,1200,Higashi Hiraike,Japan,Hyogo,Kyocera Communication Systems,Kyocera,Ciel Terre,"April, 2015"
25,1180,Solar on the water Okegawa,Japan,Saitama,West Energy Solutions,JA Solar,Ciel Terre,"July, 2013"
26,1176,Kasai City,Japan,Hyogo,West Energy Solutions,Sun250,-,"February, 2015"
27,1153,Arashiyama floating solar plant,Japan,Saitama,Taiyo Green Energy Corporation,Kyocera,Ciel Terre,"September, 2015"
28,1125,Hirai Ike,Japan,Nara,-,Trina Solar,Ciel Terre,"July, 2015"
29,1098,Shimane Solar Power Yasugi,Japan,Shimane,SOLARWAVE Yasugi Corporation,Kyocera,Ciel Terre,"November, 2014"
30,1078,Nagaike Nishi Ike,Japan,Hyogo,Miki Kogyo,Sharp,Ciel Terre,"March, 2016"
31,1076,Fukuike,Japan,Hyogo,Marusho Transport?,Mitsubishi,Ciel Terre,"June, 2015"
32,1008,Tokorozawa Ike,Japan,Hyogo,-,-,-,"March, 2015"
33,1000,DREAM Solar Float Kounoyama,Japan,Osaka,Daiwa House Industry,Jinko Solar,Takiron Engineering,"October, 2016"
34,990,Kasai City,Japan,Hyogo,West Energy Solutions,Sun250,-,"October, 2016"
35,973,Kasaoka Jyubancho Reservior,Japan,Okayama,Energy Bank Japan,-,Ciel Terre,"May, 2016"
36,850,Maeno Ike,Japan,Hyogo,Energy Bank Japan,-,Ciel Terre,"September, 2014"
37,808,Sakurashita Ike,Japan,Hyogo,Miki Kogyo,Sharp,Ciel Terre,"February, 2016"
38,696,Kawagoe City Resource Convention Centre,Japan,Saitama,Kawagoe Mizuto Hikari Solar Plant Corporation,Yingli Solar,-,"June, 2014"
39,631,Isawa Ike,Japan,Tokushima,Super Tool Eco Corporation,Kyocera,Ciel terre,"October, 2016"
40,630,Torigaike Floating Solar Plant,Japan,Hyogo,Miki Kogyo,Sharp,Ciel Terre,"February, 2016"
41,528,Fukuchi machi,Japan,Fukuoka,West Energy Solutions,West Energy Solutions,West Energy Solutions & Kyoraku,"August, 2015"
42,504,Imandou Ike,Japan,Osaka,-,West Energy Solutions,-,"September, 2015"
43,495,Ochang,South Korea,Chungcheonbuk,-,Hanwa,Ciel Terre,"February, 2015"
44,490,Jyuman Ike,Japan,Hyogo,Miki Kogyo,Sharp,Ciel Terre,"March, 2016"
45,477,Napa Country Far NienteWinary,USA,California,SPG Solar,Sharp,"Thompson Technology Industries, Inc.",2007
46,471,Polybell,UK,South Yorkshire,-,REC,Ciel Terre,"December, 2015"
47,460,Aisai City,Japan,Aichi,West Energy Solutions,Sun250,-,"December, 2015"
48,400,Towa Arcs Yoshimi Floating Solar Plant,Japan,Saitama,-,LSIS,k-water,"April, 2016"
49,343,Pontecorvo,Italy,Italy,-,PEIMAR,Ciel Terre,"March, 2016"
50,300,Rengeji Ike,Japan,Fukuoka,Power Max,ZNShine,Ciel Terre,"July, 2016"
51,200,Sheepland farm,UK,Wargrave City,-,Trina Solar,Ciel Terre,"August, 2014"
52,108,Sungai Labu,Malaysia,Sepang City,-,ET Solar,Ciel Terre,"November, 2015"
53,100,Ben Acre,UK,Benacre Village,-,REC,Ciel Terre,"December, 2015"
54,96,Swimsol Lagoon,Maldives,Baa Atoll,Swimsol,Viasolis,Swimsol,"February, 2016"
